Sex,Equipment,AgeCat,WtCat,Place,BestSquat,BestBench,BestDeadlift
M,C,SJ,53,1,157.5 [1],87.5 [5],191.0 [1]
M,C,SJ,53,2,152.5 [2],85.0 [6],187.5 [2]
M,C,SJ,53,3,142.5 [3],90.0 [4],182.5 [3]
M,C,SJ,53,4,140.0 [4],92.5 [3],170.0 [6]
M,C,SJ,53,5,125.0 [9],97.5 [1],172.5 [5]
M,C,SJ,53,6,130.0 [7],80.0 [10],180.0 [4]
M,C,SJ,53,7,140.0 [5],80.0 [9],140.0 [10]
M,C,SJ,53,8,125.0 [8],75.0 [12],147.5 [8]
M,C,SJ,53,9,110.0 [13],95.5 [2],135.0 [11]
M,C,SJ,53,10,115.0 [10],75.0 [11],150.0 [7]
M,C,SJ,53,11,110.0 [14],82.5 [8],135.0 [12]
M,C,SJ,53,12,115.0 [11],55.0 [15],145.0 [9]
M,C,SJ,53,13,105.0 [15],70.0 [14],120.0 [14]
M,C,SJ,53,14,85.0 [16],55.0 [16],130.0 [13]
M,C,SJ,53,15,82.5 [17],70.0 [13],117.5 [15]
M,C,SJ,59,1,172.5 [1],110.0 [1],212.5 [1]
M,C,SJ,59,2,170.0 [2],100.0 [2],210.0 [2]
M,C,SJ,59,3,160.0 [3],92.5 [4],185.0 [5]
M,C,SJ,59,4,145.0 [5],100.0 [3],180.0 [8]
M,C,SJ,59,5,132.5 [9],82.5 [7],202.5 [3]
M,C,SJ,59,6,150.0 [4],87.5 [5],180.0 [9]
M,C,SJ,59,7,145.0 [7],85.0 [6],180.0 [10]
M,C,SJ,59,8,135.0 [8],75.0 [12],180.0 [6]
M,C,SJ,59,9,117.5 [12],77.5 [9],192.5 [4]
M,C,SJ,59,10,145.0 [6],82.5 [8],145.0 [13]
M,C,SJ,59,11,120.0 [10],62.5 [14],180.0 [7]
M,C,SJ,59,12,115.0 [13],70.0 [13],155.0 [11]
M,C,SJ,66,1,175.0 [3],115.0 [2],222.5 [3]
M,C,SJ,66,2,185.0 [1],127.5 [1],185.0 [11]
M,C,SJ,66,3,170.0 [6],112.5 [3],210.0 [5]
M,C,SJ,66,4,185.0 [2],102.5 [4],197.5 [9]
M,C,SJ,66,5,155.0 [7],100.0 [5],222.5 [2]
M,C,SJ,66,6,175.0 [4],92.5 [11],197.5 [8]
M,C,SJ,66,7,150.0 [10],97.5 [7],205.0 [6]
M,C,SJ,66,8,152.5 [8],97.5 [6],192.5 [10]
M,C,SJ,66,9,170.0 [5],92.5 [10],180.0 [13]
M,C,SJ,66,10,150.0 [9],90.0 [12],175.0 [15]
M,C,SJ,66,11,142.5 [11],85.0 [15],177.5 [14]
M,C,SJ,66,12,140.0 [12],90.0 [13],170.0 [16]
M,C,SJ,66,13,130.0 [14],85.0 [14],180.0 [12]
M,C,SJ,66,14,135.0 [13],72.5 [16],150.0 [19]
M,C,SJ,66,15,122.5 [16],67.5 [17],162.5 [17]
M,C,SJ,74,1,192.5 [4],137.5 [1],235.0 [1]
M,C,SJ,74,2,212.5 [1],107.5 [5],227.5 [2]
M,C,SJ,74,3,212.5 [2],105.0 [8],222.5 [3]
M,C,SJ,74,4,202.5 [3],107.5 [6],205.0 [11]
M,C,SJ,74,5,185.0 [5],100.0 [11],215.0 [4]
M,C,SJ,74,6,180.0 [7],110.0 [4],205.0 [9]
M,C,SJ,74,7,182.5 [6],97.5 [14],210.0 [6]
M,C,SJ,74,8,170.0 [10],105.0 [10],205.0 [12]
M,C,SJ,74,9,177.5 [8],105.0 [7],195.0 [15]
M,C,SJ,74,10,157.5 [15],112.5 [3],202.5 [13]
M,C,SJ,74,11,167.5 [12],92.5 [16],210.0 [7]
M,C,SJ,74,12,155.0 [18],105.0 [9],210.0 [8]
M,C,SJ,74,13,170.0 [9],100.0 [13],195.0 [16]
M,C,SJ,74,14,157.5 [17],90.0 [17],215.0 [5]
M,C,SJ,74,15,157.5 [16],122.5 [2],180.0 [18]
M,C,SJ,74,16,167.5 [13],82.5 [18],205.0 [10]
M,C,SJ,74,17,167.5 [11],80.0 [19],195.0 [14]
M,C,SJ,74,18,160.0 [14],80.0 [20],170.0 [19]
M,C,SJ,74,19,130.0 [19],95.0 [15],185.0 [17]
M,C,SJ,74,20,125.0 [20],72.5 [21],150.0 [21]
M,C,SJ,74,21,110.0 [21],45.0 [22],120.0 [22]
M,C,SJ,83,1,227.5 [1],115.0 [6],257.5 [2]
M,C,SJ,83,2,180.0 [7],117.5 [4],272.5 [1]
M,C,SJ,83,3,192.5 [3],117.5 [5],215.0 [7]
M,C,SJ,83,4,205.0 [2],117.5 [3],200.0 [9]
M,C,SJ,83,5,180.0 [6],142.5 [1],195.0 [11]
M,C,SJ,83,6,185.0 [4],110.0 [7],210.0 [8]
M,C,SJ,83,7,177.5 [8],110.0 [8],215.0 [6]
M,C,SJ,83,8,175.0 [10],90.0 [11],232.5 [4]
M,C,SJ,83,9,185.0 [5],80.0 [12],220.0 [5]
M,C,SJ,83,10,165.0 [11],90.0 [10],200.0 [10]
M,C,SJ,93,1,217.5 [2],127.5 [2],263.0 [1]
M,C,SJ,93,2,212.5 [4],120.0 [3],212.5 [5]
M,C,SJ,93,3,217.5 [1],110.0 [8],210.0 [6]
M,C,SJ,93,4,192.5 [5],117.5 [4],215.0 [2]
M,C,SJ,93,5,215.0 [3],95.0 [12],215.0 [4]
M,C,SJ,93,6,182.5 [7],135.0 [1],205.0 [7]
M,C,SJ,93,7,170.0 [10],107.5 [9],215.0 [3]
M,C,SJ,93,8,190.0 [6],100.0 [11],200.0 [8]
M,C,SJ,93,9,170.0 [11],115.0 [7],185.0 [11]
M,C,SJ,93,10,177.5 [8],102.5 [10],190.0 [9]
M,C,SJ,93,11,172.5 [9],117.5 [6],165.0 [13]
M,C,SJ,93,12,160.0 [12],117.5 [5],120.0 [14]
M,C,SJ,93,13,127.5 [14],75.0 [13],187.5 [10]
M,C,SJ,93,14,150.0 [13],55.0 [14],165.0 [12]
M,C,SJ,105,1,210.0 [3],162.5 [1],230.0 [6]
M,C,SJ,105,2,210.0 [2],127.5 [4],247.5 [1]
M,C,SJ,105,3,227.5 [1],125.0 [5],230.0 [4]
M,C,SJ,105,4,200.0 [4],120.0 [6],235.0 [2]
M,C,SJ,105,5,190.0 [8],130.0 [2],215.0 [7]
M,C,SJ,105,6,195.0 [6],110.0 [9],230.0 [3]
M,C,SJ,105,7,175.0 [10],130.0 [3],230.0 [5]
M,C,SJ,105,8,197.5 [5],100.0 [11],212.5 [9]
M,C,SJ,105,9,185.0 [9],110.0 [10],215.0 [8]
M,C,SJ,105,10,192.5 [7],120.0 [7],190.0 [11]
M,C,SJ,105,11,165.0 [12],97.5 [12],190.0 [10]
M,C,SJ,105,12,150.0 [14],95.0 [13],165.0 [13]
M,C,SJ,105,13,152.5 [13],75.0 [14],150.0 [14]
M,C,SJ,105,14,97.5 [15],62.5 [15],125.0 [15]
M,C,SJ,120,1,240.0 [1],135.0 [2],260.0 [1]
M,C,SJ,120,2,227.5 [2],145.0 [1],250.0 [2]
M,C,SJ,120,3,180.0 [3],110.0 [4],190.0 [3]
M,C,SJ,120,4,170.0 [4],112.5 [3],172.5 [5]
M,C,SJ,120,5,170.0 [5],80.0 [5],187.5 [4]
M,C,SJ,200,1,250.0 [1],135.0 [2],255.0 [1]
M,C,SJ,200,2,230.0 [2],147.5 [1],245.0 [2]
M,C,SJ,200,3,160.0 [3],85.0 [3],180.0 [3]
M,C,J,53,1,163.0 [1],110.0 [1],180.0 [6]
M,C,J,53,2,147.5 [2],105.0 [2],172.5 [8]
M,C,J,53,3,147.5 [4],85.0 [8],182.5 [4]
M,C,J,53,4,142.5 [5],92.5 [3],177.5 [7]
M,C,J,53,5,137.5 [6],90.0 [4],182.5 [3]
M,C,J,53,6,132.5 [9],82.5 [9],190.0 [1]
M,C,J,53,7,135.0 [8],90.0 [6],180.0 [5]
M,C,J,53,8,147.5 [3],80.0 [11],172.5 [9]
M,C,J,53,9,132.5 [10],87.5 [7],155.0 [12]
M,C,J,53,10,105.0 [11],60.0 [14],155.0 [13]
M,C,J,59,1,191.0 [1],95.0 [10],237.5 [1]
M,C,J,59,2,187.5 [2],97.5 [9],231.5 [2]
M,C,J,59,3,175.0 [6],112.5 [3],220.0 [6]
M,C,J,59,4,175.0 [4],115.0 [1],215.0 [7]
M,C,J,59,5,170.0 [9],112.5 [5],222.5 [5]
M,C,J,59,6,175.0 [5],115.0 [2],207.5 [9]
M,C,J,59,7,180.0 [3],87.5 [13],225.0 [4]
M,C,J,59,8,170.0 [8],102.5 [7],215.0 [8]
M,C,J,59,9,170.0 [7],82.5 [16],227.5 [3]
M,C,J,59,10,167.5 [10],105.0 [6],185.0 [12]
M,C,J,59,11,160.0 [11],87.5 [14],200.0 [10]
M,C,J,59,12,155.0 [14],112.5 [4],175.0 [15]
M,C,J,59,13,155.0 [13],95.0 [11],180.0 [13]
M,C,J,59,14,150.0 [16],100.0 [8],180.0 [14]
M,C,J,59,15,147.5 [17],85.0 [15],175.0 [16]
M,C,J,59,16,140.0 [18],60.0 [18],200.0 [11]
M,C,J,59,17,130.0 [19],65.0 [17],140.0 [17]
M,C,J,66,1,230.0 [1],122.5 [5],245.0 [2]
M,C,J,66,2,217.5 [2],120.0 [8],242.5 [4]
M,C,J,66,3,207.5 [3],122.5 [6],237.5 [5]
M,C,J,66,4,190.0 [9],140.0 [1],235.0 [7]
M,C,J,66,5,195.0 [6],132.5 [4],225.0 [8]
M,C,J,66,6,200.0 [5],137.5 [2],215.0 [13]
M,C,J,66,7,200.0 [4],115.0 [10],235.0 [6]
M,C,J,66,8,180.0 [11],135.0 [3],225.0 [9]
M,C,J,66,9,185.0 [10],120.0 [7],215.0 [11]
M,C,J,66,10,190.0 [8],110.0 [12],215.0 [12]
M,C,J,66,11,195.0 [7],117.5 [9],200.0 [17]
M,C,J,66,12,180.0 [12],80.0 [21],245.0 [3]
M,C,J,66,13,175.0 [14],102.5 [14],215.0 [14]
M,C,J,66,14,170.0 [15],95.0 [18],215.0 [10]
M,C,J,66,15,145.0 [18],90.0 [20],200.0 [16]
M,C,J,66,16,150.0 [17],105.0 [13],180.0 [18]
M,C,J,74,1,255.0 [1],142.5 [1],282.5 [1]
M,C,J,74,2,215.0 [4],135.0 [4],237.5 [3]
M,C,J,74,3,220.0 [2],135.0 [3],230.0 [7]
M,C,J,74,4,210.0 [5],135.0 [2],210.0 [11]
M,C,J,74,5,217.5 [3],122.5 [6],212.5 [10]
M,C,J,74,6,210.0 [6],120.0 [8],217.5 [9]
M,C,J,74,7,190.0 [8],117.5 [9],230.0 [5]
M,C,J,74,8,200.0 [7],102.5 [11],235.0 [4]
M,C,J,74,9,190.0 [9],122.5 [7],220.0 [8]
M,C,J,74,10,170.0 [13],117.5 [10],240.0 [2]
M,C,J,74,11,172.5 [10],122.5 [5],195.0 [12]
M,C,J,74,12,170.0 [12],85.0 [13],230.0 [6]
M,C,J,74,13,140.0 [14],95.0 [12],190.0 [13]
M,C,J,83,1,247.5 [1],162.5 [2],260.0 [4]
M,C,J,83,2,240.0 [2],137.5 [5],270.0 [2]
M,C,J,83,3,225.0 [4],160.0 [3],250.0 [7]
M,C,J,83,4,232.5 [3],115.0 [11],270.0 [1]
M,C,J,83,5,205.0 [7],147.5 [4],255.0 [6]
M,C,J,83,6,222.5 [5],120.0 [8],257.5 [5]
M,C,J,83,7,217.5 [6],132.5 [6],250.0 [8]
M,C,J,83,8,200.0 [9],165.0 [1],207.5 [12]
M,C,J,83,9,205.0 [8],102.5 [14],230.0 [10]
M,C,J,83,10,180.0 [11],80.0 [17],240.0 [9]
M,C,J,83,11,157.5 [13],85.0 [15],175.0 [15]
M,C,J,83,12,130.0 [14],82.5 [16],160.0 [16]
M,C,J,93,1,272.5 [1],172.5 [1],272.5 [3]
M,C,J,93,2,240.0 [5],147.5 [4],315.0 [1]
M,C,J,93,3,240.0 [4],142.5 [5],262.5 [4]
M,C,J,93,4,250.0 [3],127.5 [10],260.0 [5]
M,C,J,93,5,235.0 [7],165.0 [2],230.0 [14]
M,C,J,93,6,220.0 [8],127.5 [9],280.0 [2]
M,C,J,93,7,207.5 [13],155.0 [3],247.5 [10]
M,C,J,93,8,240.0 [6],120.0 [14],250.0 [8]
M,C,J,93,9,250.0 [2],137.5 [6],217.5 [17]
M,C,J,93,10,220.0 [9],132.5 [8],245.0 [12]
M,C,J,93,11,217.5 [10],122.5 [12],247.5 [9]
M,C,J,93,12,210.0 [12],120.0 [13],250.0 [7]
M,C,J,93,13,212.5 [11],137.5 [7],222.5 [15]
M,C,J,93,14,200.0 [14],125.0 [11],245.0 [11]
M,C,J,93,15,195.0 [15],115.0 [16],255.0 [6]
M,C,J,93,16,170.0 [17],95.0 [18],220.0 [16]
M,C,J,93,17,177.5 [16],110.0 [17],195.0 [18]
M,C,J,105,1,280.0 [1],135.0 [8],270.0 [6]
M,C,J,105,2,270.0 [2],145.0 [4],255.0 [8]
M,C,J,105,3,250.0 [3],140.0 [5],277.5 [2]
M,C,J,105,4,235.0 [6],150.0 [3],272.5 [3]
M,C,J,105,5,237.5 [5],137.5 [7],270.0 [5]
M,C,J,105,6,230.0 [8],135.0 [9],280.0 [1]
M,C,J,105,7,225.0 [11],152.5 [2],262.5 [7]
M,C,J,105,8,227.5 [9],137.5 [6],272.5 [4]
M,C,J,105,9,235.0 [7],125.0 [13],240.0 [10]
M,C,J,105,10,242.5 [4],122.5 [14],235.0 [11]
M,C,J,105,11,227.5 [10],157.5 [1],210.0 [16]
M,C,J,105,12,212.5 [12],127.5 [12],252.5 [9]
M,C,J,105,13,210.0 [13],130.0 [10],225.0 [12]
M,C,J,105,14,205.0 [15],130.0 [11],220.0 [14]
M,C,J,105,15,195.0 [16],117.5 [15],215.0 [15]
M,C,J,105,16,210.0 [14],107.5 [16],200.0 [17]
M,C,J,105,17,165.0 [17],100.0 [18],187.5 [18]
M,C,J,120,1,270.0 [1],173.0 [1],287.5 [1]
M,C,J,120,2,262.5 [2],157.5 [2],242.5 [7]
M,C,J,120,3,235.0 [6],147.5 [4],260.0 [3]
M,C,J,120,4,225.0 [9],147.5 [3],245.0 [5]
M,C,J,120,5,237.5 [5],117.5 [11],262.5 [2]
M,C,J,120,6,225.0 [8],137.5 [5],252.5 [4]
M,C,J,120,7,235.0 [7],137.5 [6],235.0 [8]
M,C,J,120,8,250.0 [3],130.0 [8],222.5 [10]
M,C,J,120,9,225.0 [10],127.5 [9],245.0 [6]
M,C,J,120,10,240.0 [4],120.0 [10],230.0 [9]
M,C,J,120,11,215.0 [11],100.0 [13],220.0 [11]
M,C,J,120,12,190.0 [14],132.5 [7],205.0 [13]
M,C,J,120,13,210.0 [12],110.0 [12],187.5 [14]
M,C,J,120,14,200.0 [13],95.0 [14],212.5 [12]
M,C,J,200,1,255.0 [1],145.0 [2],252.5 [1]
M,C,J,200,2,242.5 [5],142.5 [3],245.0 [4]
M,C,J,200,3,250.0 [2],152.5 [1],222.5 [5]
M,C,J,200,4,227.5 [6],137.5 [4],250.0 [2]
M,C,J,200,5,217.5 [8],130.0 [7],250.0 [3]
M,C,J,200,6,242.5 [4],135.0 [5],210.0 [7]
M,C,J,200,7,220.0 [7],127.5 [8],205.0 [8]
