Sex,Equipment,AgeCat,WtCat,Place,BestSquat,BestBench,BestDeadlift
0,0,0,53,1,157.5,87.5,191.0
0,0,0,53,2,152.5,85.0,187.5
0,0,0,53,3,142.5,90.0,182.5
0,0,0,53,4,140.0,92.5,170.0
0,0,0,53,5,125.0,97.5,172.5
0,0,0,53,6,130.0,80.0,180.0
0,0,0,53,7,140.0,80.0,140.0
0,0,0,53,8,125.0,75.0,147.5
0,0,0,53,9,110.0,95.5,135.0
0,0,0,53,10,115.0,75.0,150.0
0,0,0,53,11,110.0,82.5,135.0
0,0,0,53,12,115.0,55.0,145.0
0,0,0,53,13,105.0,70.0,120.0
0,0,0,53,14,85.0,55.0,130.0
0,0,0,53,15,82.5,70.0,117.5
0,0,0,59,1,172.5,110.0,212.5
0,0,0,59,2,170.0,100.0,210.0
0,0,0,59,3,160.0,92.5,185.0
0,0,0,59,4,145.0,100.0,180.0
0,0,0,59,5,132.5,82.5,202.5
0,0,0,59,6,150.0,87.5,180.0
0,0,0,59,7,145.0,85.0,180.0
0,0,0,59,8,135.0,75.0,180.0
0,0,0,59,9,117.5,77.5,192.5
0,0,0,59,10,145.0,82.5,145.0
0,0,0,59,11,120.0,62.5,180.0
0,0,0,59,12,115.0,70.0,155.0
0,0,0,66,1,175.0,115.0,222.5
0,0,0,66,2,185.0,127.5,185.0
0,0,0,66,3,170.0,112.5,210.0
0,0,0,66,4,185.0,102.5,197.5
0,0,0,66,5,155.0,100.0,222.5
0,0,0,66,6,175.0,92.5,197.5
0,0,0,66,7,150.0,97.5,205.0
0,0,0,66,8,152.5,97.5,192.5
0,0,0,66,9,170.0,92.5,180.0
0,0,0,66,10,150.0,90.0,175.0
0,0,0,66,11,142.5,85.0,177.5
0,0,0,66,12,140.0,90.0,170.0
0,0,0,66,13,130.0,85.0,180.0
0,0,0,66,14,135.0,72.5,150.0
0,0,0,66,15,122.5,67.5,162.5
0,0,0,74,1,192.5,137.5,235.0
0,0,0,74,2,212.5,107.5,227.5
0,0,0,74,3,212.5,105.0,222.5
0,0,0,74,4,202.5,107.5,205.0
0,0,0,74,5,185.0,100.0,215.0
0,0,0,74,6,180.0,110.0,205.0
0,0,0,74,7,182.5,97.5,210.0
0,0,0,74,8,170.0,105.0,205.0
0,0,0,74,9,177.5,105.0,195.0
