WtCategory,BestSquat,BestBenchpress,BestDeadlift,Place
53,157.5,87.5,191,1
53,152.5,85,187.5,2
53,142.5,90,182.5,3
53,140,92.5,170,4
53,125,97.5,172.5,5
53,130,80,180,6
53,140,80,140,7
53,125,75,147.5,8
53,110,95.5,135,9
53,115,75,150,10
53,110,82.5,135,11
53,115,55,145,12
53,105,70,120,13
53,85,55,130,14
53,82.5,70,117.5,15
53,122.5,77.5,190,1
53,132.5,77.5,177.5,2
53,140,80,167.5,3
53,150,72.5,155,4
53,130,85,160,5
53,127.5,75,165,6
53,115,70,182.5,7
53,122.5,67.5,177.5,8
53,110,80,155,9
53,115,67.5,160,10
53,115,72.5,142.5,11
53,87.5,55,130,12
53,75,50,135,13
53,92.5,55,110,14
53,82.5,60,110,15
53,85,45,112.5,16
53,65,35,95,17
53,62.5,42.5,80,18
53,132.5,80,177.5,1
53,120,95,155,2
53,120,80,170,3
53,122.5,80,165,4
53,117.5,67.5,172.5,5
53,120,57.5,160,6
53,110,80,140,7
53,95,50,145,8
53,82.5,50,125,9
53,75,57.5,110,10
53,72.5,45,100,11
53,65,45,105,12
53,72.5,40,95,13
59,157.5,87.5,191,1
59,152.5,85,187.5,2
59,142.5,90,182.5,3
59,140,92.5,170,4
59,125,97.5,172.5,5
59,130,80,180,6
59,140,80,140,7
59,125,75,147.5,8
59,110,95.5,135,9
59,115,75,150,10
59,110,82.5,135,11
59,115,55,145,12
59,105,70,120,13
59,85,55,130,14
59,82.5,70,117.5,15
59,122.5,77.5,190,1
59,132.5,77.5,177.5,2
59,140,80,167.5,3
59,150,72.5,155,4
59,130,85,160,5
59,127.5,75,165,6
59,115,70,182.5,7
59,122.5,67.5,177.5,8
59,110,80,155,9
59,115,67.5,160,10
59,115,72.5,142.5,11
59,87.5,55,130,12
59,75,50,135,13
59,92.5,55,110,14
59,82.5,60,110,15
59,85,45,112.5,16
59,65,35,95,17
59,62.5,42.5,80,18
59,132.5,80,177.5,1
59,120,95,155,2
59,120,80,170,3
59,122.5,80,165,4
59,117.5,67.5,172.5,5
59,120,57.5,160,6
59,110,80,140,7
59,95,50,145,8
59,82.5,50,125,9
59,75,57.5,110,10
59,72.5,45,100,11
59,65,45,105,12
59,72.5,40,95,13
